ano;trimestre;categoria;tipo;cnpj;instituicao_financeira;indice;qtd_reclamacoes_reguladas_procedentes;qtd_reclamacoes_reguladas_outras;qtd_reclamacoes_nao_reguladas;qtd_total_reclamacoes;qtd_total_clientes_ccs_e_scr;qtd_clientes_ccs;qtd_clientes_scr
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;HONDA (conglomerado); ;6;6;9;21;358758;146;358703
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;13884775;HUB INSTITUIO DE PAGAMENTO S.A.;3,26;36;65;1;102;11021807;11021797;78
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;4;14;1;19;69669;4675;65849
2022;4;Top 15 - Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;INTER (conglomerado);36,90;857;615;239;1711;23219194;23080181;3502534
2022;4;Top 15 - Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;ITAU (conglomerado);15,26;1492;3154;1463;6109;97712980;79820279;54522214
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;15111975;IUGU INSTITUIO DE PAGAMENTO S.A.; ;8;7;1;16;2365; ;2365
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;04230630;JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO; ;0;5;5;10;60391; ;60391
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;JP MORGAN CHASE (conglomerado); ;0;1;0;1;0;0;0
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;06040559;KREDILIG S.A. - CRDITO, FINANCIAMENTO E INVESTIMENTO; ;1;2;1;4;319580;7;319576
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;11271860;LEBES FINANCEIRA S.A. - CRDITO, FINANCIAMENTO E INVESTIMENTO; ;5;5;2;12;334203;5;334198
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;07652226;LECCA CRDITO, FINANCIAMENTO E INVESTIMENTO S/A; ;1;3;2;6;27489;271;27218
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;07747410;M PAGAMENTOS S.A. - CRDITO FINANCIAMENTO E INVESTIMENTO; ;1;9;3;13;519067; ;519067
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;MASTER (conglomerado);638,66;265;192;55;512;414928;14820;402383
2022;4;Top 15 - Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;MERCADO CRDITO (conglomerado);18,07;779;898;247;1924;43102757;43079822;4035091
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);48,40;279;205;73;557;5764031;4172918;3047428
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;2;1;5;8;19240;423;18899
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;09464032;MIDWAY S.A. - CRDITO, FINANCIAMENTO E INVESTIMENTO;4,06;33;86;30;149;8108375;2324607;7565452
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;MODAL (conglomerado); ;25;34;5;64;1789775;1789452;46761
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;04379829;NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;0;1;0;1;478360;632;477731
2022;4;Top 15 - Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;NEON (conglomerado);11,75;195;182;35;412;16586111;16583349;1420503
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;74828799;NOVO BANCO CONTINENTAL S.A. - BANCO MLTIPLO; ;0;21;2;23;544311;3669;541595
2022;4;Top 15 - Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;NUBANK (conglomerado);6,90;477;1150;319;1946;69077761;67260966;36478591
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;OMNI (conglomerado); ;22;53;38;113;4408458;268090;4175298
2022;4;Top 15 - Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;ORIGINAL (conglomerado);14,35;689;876;223;1788;47994411;47843568;3801245
2022;4;Top 15 - Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;PAGBANK-PAGSEGURO (conglomerado);23,52;652;670;132;1454;27716605;27603910;565836
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;03816413;PAGUEVELOZ INSTITUIO DE PAGAMENTO LTDA.; ;8;9;0;17;0;0;0
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;PARAN BANCO (conglomerado); ;22;123;23;168;546784;11439;535755
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;03311443;PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;27;53;8;88;95648;93466;2897
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;10878448;PAYPAL DO BRASIL SERVICOS DE PAGAMENTOS LTDA;189,44;34;40;6;80;179473;179471;3
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;43180355;PEFISA S.A. - CRDITO, FINANCIAMENTO E INVESTIMENTO;11,43;106;49;21;176;9273360;8999432;3045175
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;17079937;PINBANK BRASIL INSTITUIO DE PAGAMENTO S.A.; ;1;0;0;1;0;0;0
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;PINE (conglomerado); ;0;1;2;3;119595;11377;108983
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Conglomerado; ;PORTO SEGURO (conglomerado);59,10;177;132;99;408;2994558;13928;2994386
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;01800019;PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO; ;12;11;19;42;118063;2234;115830
2022;4;Demais Bancos, Financeiras e Instituies de Pagamento;Banco/financeira;01722480;QUERO-QUERO VERDECARD INSTITUIO DE PAGAMENTO S.A.; ;0;8;3;11;580387;222463;395988
